UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Mardani Ali Sera,@MardaniAliSera,2021-04-28T04:15:57.000Z,"Banyak kesamaan antara MUI dan PKS dalam memperjuangan dan mengawal konstitusi seperti berbagai RUU, HIP, peta jalan pendidikan, cipta kerja, SKB 3 Menteri, minol, perlindungan tokoh agama, dll. Termasuk ada usulan RUU Perlindungan Aset Negara.

Pic. KH. Hasan Basri  
@fahiraidris",,5,11,81
Citra Prasetyo,@Michael21Citra,2021-04-27T22:23:44.000Z,"Setau gu a tmn gawe gua   ...  Ucapkan selamat Jalan di Busway Jakarta @infotransjakarta #TakeOff #Landing #ruuciptakerja @ Jakarta, Indonesia https://instagram.com/p/COL6BxiJnJ-/?igshid=giw0wf1rq0vb…",😘,,,
Kemantrian Media Sosial,@KeMedSos,2021-04-27T13:34:33.000Z,Kedua aktivis KAMI yang memprovokasi rakyat saat demo anti RUU Cipta Kerja ini jelas jelas melanggar hukum,,,2,2
Bukan Arчα Duta™ #أكون مرديكا,@masaryaduta,2021-04-27T05:49:15.000Z,"Jejak Digital: Tatkala Azis Syamsudin menjadi pemimpin sidang paripurna RUU (Rancangan Undang-Undang) Cipta Kerja, Senin 5 Oktober 2020. Dia juga yang mengetuk palu pengesahan Omnibus Law RUU menjadi Undang-Undang.Mengesahkan UU Cipta Kerja, Wakil DPR RI Punya Harta Berjalan Miliaran
Wakil Ketua DPR RI, Azis Syamsuddin telah mengesahkan UU Cipta Kerja melalui sidang paripurna di gedung DPR/MPR.
100kpj.com",,1,,2
Bisnis Muda,@Bisnismudaid,2021-04-26T03:40:54.000Z,"Nah, di episode ke-10 pas banget lagi heboh soal RUU  Cipta Kerja yang diprotes banyak orang.

Untuk itu, kita ngobrol bareng Be-emers yang paham banget soal dunia per-hukum-an 

Dengerin di sini aja ya!

https://open.spotify.com/episode/5HPTokN1CFjN8sJ2WTnwoj?si=TsWXEr_zRZeEIxqzxNi8aA…

#podcastbisnismuda10. Tidak Setuju UU Cipta Kerja? #JudicialReviewAja - Bisnis Muda
open.spotify.com",,1,1,
isma,@itsmeism,2021-04-25T06:19:39.000Z,"Membalas 
@pensilwarna24
 dan 
@bertanyarlIni waktu demo nolak RUU cipta kerja gitu ya kalo gak salah nah dia (si mbak aku kamu jodoh) bikin tweet uwu-uwu gitu pas demo ditolong mahasiswa cowok, jadi dia ikut demo itu malah nyusahin orang lain pas disindir dia gak ngerasa ",😂,1,,77
Ko Infokita,@KInfokita,2021-04-23T05:40:27.000Z,RUU CIPTA KERJA,,,,
Uni Defi,@D3ffiM45rizal,2021-04-22T20:48:17.000Z,"Analisa  FSPMI-KSPI trhdp RUU Cipta Kerja khususnya mengenai TKA. 

Dlm hal ini RUU CiptaKerja mmpermudah TKA utk msk ke Indonesia. Bahkan ad potensi TKA unskill pun bs masuk.
---

Jd janji lap.kerja utk rakyat itu ngibul???

#UsirTKAChina
#UsirTKAChina 

Sumber : ig FSPMI-KSPI",🌸 🍃,8,28,45
Pangeran Perang,@Wedhus999,2021-04-21T05:48:14.000Z,Kemudian buzzeRp (influencer / artis bahasa halusnya) awam yang tidak mengerti undang² ini kemudian mempromosikan RUU Cipta Kerja ini. Anda masih ingat dengan #indonesiabutuhkerja dimana 21 artis dan selebritas menjadi sorotan setelah mengunggah konten disertai tanda pagar tsb.,,1,,2
Pangeran Perang,@Wedhus999,2021-04-21T05:47:17.000Z,dihapus alias tidak ada dalam RUU Cipta Kerja. Artinya apa? Perusahaan bisa mempekerjakan pekerjanya tidak ada batasan kapan kontrak akan selesai. Apakah Anda mau bekerja tanpa kepastian kontrak waktu?,,,,1
Pangeran Perang,@Wedhus999,2021-04-21T05:47:11.000Z,yang diatur dalam Undang-Undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan. Setelah itu buka Pasal 89 RUU Cipta Kerja dimana ketentuan Pasal 59 Undang-Undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan (pasal yang mengatur terkait Pekerja Kontrak Untuk Waktu Tertentu alias PKWT),,2,,1
Pangeran Perang,@Wedhus999,2021-04-21T05:47:00.000Z,"Anda download file RUU Cipta Kerja di link dalam kurung ini (https://hukumonline.com/pusatdata/downloadfile/lt5e4e011452f7f/parent/lt5e44b818ae3f4…). Kemudian Anda buka Pasal 88 RUU Cipta Kerja dimana dalam Pasal tersebut diisi bahwa undang² ini (RUU CIPTA KERJA) dapat mengubah, menghapus, atau menetapkan pengaturan baru beberapa ketentuan",,1,,1
Pangeran Perang,@Wedhus999,2021-04-21T05:46:34.000Z,"Coba Kita baca contoh satu pasal yang ngawur dalam RUU Cipta Kerja dan kemudian setelah Kita membacanya, Kita akan melihat otak keawamannya para BuzzeRp (bahasa halusnya influencer) ini untuk mempromosikan RUU Cipta Kerja.",,,,1
Pangeran Perang,@Wedhus999,2021-04-21T05:46:22.000Z,Contohnya adalah Omnibus Law RUU Cipta Kerja dimana RUU itu sudah jelas² isi dari pasalnya dapat membahayakan para pekerja dan hanya menguntungkan para perusahaan dan pengusaha.,,2,,1
Mada Siregar ツ,@Madaniputrisr,2021-04-20T12:47:21.000Z,"awal tujuan kalian buat twitter apa si?

Me: dari 2012 dan aktif lagi karena CEK BERITA DEMO RUU CIPTA KERJA ",🤣,48,2,25
Hail_Indonesia,@Hail_Indonesia,2021-04-20T04:00:43.000Z,"Membalas 
@DLJ_Channels#IBHRSBukanPenjahat
#IBHRSBukanPenjahat

===

Dibungkus dengan Intoleran, radikal, RUU KPK, RUU Minerba, RUU Cipta Kerja dan Pancasila NKRI harga mati semua yang diatas tersebut tercipta. 

Bantu angkat.",,,,
HukumOnline,@HukumOnline,2021-04-19T09:45:38.000Z,"Penyusunan RUU Cipta Kerja dinilai tidak memenuhi ketentuan UU No.12 Tahun 2011 tentang Pembentukan Peraturan Perundang-Undangan.8 Dalil FSPMI Ajukan Uji Formil UU Cipta Kerja
Penyusunan RUU Cipta Kerja dinilai tidak memenuhi ketentuan UU No.12 Tahun 2011 tentang Pembentukan Peraturan Perundang-Undangan.
hukumonline.com",,,2,6
D,@Densuu_,2021-04-18T11:04:40.000Z,"Membalas 
@dr_tompiArtis sekarang banyak yg double kerja jadi buzer ya? Jadi inget jamanya ruu cipta kerja, banyak artis yang blunder gara2 dibayar buat dukung ruu cipta kerja",,,,
erumo,@erumosenpai,2021-04-17T13:57:08.000Z,Pipa ruu cipta kerja,,,,
,@srjsen,2021-04-14T18:08:24.000Z,"Membalas 
@phxuniverxse_Buat RUU cipta kerja",😭,1,,
Berpen - Berita Pendek,@berpenco,2021-04-12T06:17:06.000Z,"Nantinya, akan ada empat tuntutan utama, yakni tolak RUU Ciptaker, berlakukan UMSK tahun 2021, bayar THR 2021 secara full, dan usut tuntas dugaan korupsi di BPJS-TK.
#RUUCiptaKerja #OmnibusLaw #DemoBuruh",,,,
Faris Naufal,@FarisNau91,2021-04-07T11:44:30.000Z,"Membalas 
@DonAdam68Jelas.. dah di bayar di muka kan tu pake ruu cipta kerja wkwkwkw",,,,
...,@AlifKohl,2021-04-06T13:45:35.000Z,"Pak presiden kok waktu mahasiswa minta hadir saat aksi RUU KPK dan RUU Omnimbus Law Cipta Kerja malah kabur. Giliran pas acara  pernikahan anaknya collega satu partai eh dateng
Oh iya lupa, kita mah cuman rakyat biasa",,,,
Niko,@nikotile,2021-04-06T11:09:12.000Z,"Membalas 
@nikotile
 dan 
@polzbearOmnibus Law RUU Cipta Kerja - Penangkapan Ravio Patra - Jakarta Six - Reformasi Dikorupsi - Kebakaran Kejaksaan Agung - Penganiayaan dan Pembunuhan George Karel Rumbino (19) - Kriminalisasi Ganja - Bisnis Penjara - Penyerangan Polsek Ciracas - Urut Sewu",,,,
Fraksi PKS DPR RI,@FPKSDPRRI,2021-04-06T08:16:39.000Z,"BUKU 

REKAM JEJAK 

Fraksi PKS dalam RUU Cipta Kerja (Omnibus Law) 

Tersaji dalam goresan, agar pada generasi mendatang kami bertanggung jawab 

 Mau?

#fraksipksdprri 
#pksawasikabinet 
#omnibuslaw",📚 🎞 🪔 🖌 😊,13,30,100
Eustass kid,@Rifaldi_lord,2021-04-05T05:26:00.000Z,"Membalas 
@riedix
 dan 
@FahrizalemiauwSemoga cepat bisa ditemukan, minta share nya ya kawan, kawan. Tetap kawal Ruu cipta kerja
#MosiTidakPercaya
#moshpittidakpercaya
#lawan
#melawanketidakadilan",,,,
Iqbal Jakawali,@iqbaljkwl,2021-04-04T03:28:55.000Z,"Nikahan anak org dateng
Demo Guru Honorer, Demo RUU cipta kerja kemana? gaperna liiiat

Fuh-Hah",,,,2
